title;priority (default - LOW);minFileSize (default - 150.0) - not used currently;last watched episode

Can a Boy-Girl Friendship Survive?;MEDIUM;;4
Bye Bye, Earth Season 2;;;4
Teogonia;MEDIUM;;3
Everyday Host;MEDIUM;;3
The Apothecary Diaries 2nd Season;HIGH;;16

The Dinner Table Detective;HIGH;;4
YAIBA: Samurai Legend;;;4
I’ve Been Killing Slimes for 300 Years and Maxed Out My Level 2nd Season;;;4
Anne Shirley;;;4
From Old Country Bumpkin to Master Swordsman;;;3
Kowloon Generic Romance;MEDIUM;;3
Mono;MEDIUM;;2
I Left my A-Rank Party to Help My Former Students Reach the Dungeon Depths!;;;14
Food for the Soul;MEDIUM;;2
Classic★Stars;;;3
Shoshimin: How to Become Ordinary 2;MEDIUM;;3
I’m the Evil Lord of an Intergalactic Empire!;;;3

To Be Hero X;HIGH;;3
Lazarus;MEDIUM;;2
Witch Watch;;;3
SHIROHIYO: Reincarnated as a Neglected Noble: Raising My Baby Brother With Memories From My Past Life;;;2
The Unaware Atelier Meister;;;4
The Gorilla God’s Go-To Girl;MEDIUM;;3
Maebashi Witches;;;3
Go! Go! Loser Ranger! 2nd season;;;2
Makina-san's a Love Bot?!;;;3
Yandere Dark Elf: She Chased Me All the Way From Another World!;;;3
